Dec_24-4420904943,,,,
VFclass,Virulence factors,Related genes,ERS1375118_protein_file(Prediction),L.monocytogenes EGD-e(serovar 1/2a)
,,,draft (draft),chromosome (NC_003210)
Adherence,D-alanine-polyphosphoribitol ligase,dltA,NODE_7073_length_872_cov_39.459862_1,lmo0974
,Fibronectin-binding protein,fbpA,NODE_2610_length_3805_cov_42.903549_1,lmo1829
,GW autolysin,ami,NODE_233_length_555_cov_70.657661_1,lmo2558
,Internalin F,inlF,NODE_7510_length_684_cov_62.178364_1,lmo0409
,Internalin J (LPXTG protein),inlJ,NODE_3005_length_1805_cov_61.266483_1,lmo2821
,Listeria adhesion protein,lap,NODE_3067_length_528_cov_40.200756_1; NODE_5701_length_1788_cov_37.861298_1,lmo1634
,,lapB,NODE_3512_length_1204_cov_39.857143_1,lmo1666
Bile resistance,Bile-salt hydrolase,bsh,NODE_407_length_2423_cov_47.792408_2,lmo2067
Enzyme,Metalloproteinase,mpl,NODE_1930_length_504_cov_49.281746_1; NODE_733_length_1597_cov_58.447716_2,lmo0203
,PC-PLC,plcB,NODE_6150_length_729_cov_64.004112_1,lmo0205
,PI-PLC,plcA,NODE_2149_length_1092_cov_59.692307_1,lmo0201
,Serine-threonine phosphatase,stp,NODE_8343_length_4924_cov_42.026199_1,lmo1821
Immune modulator,InlC,inlC,NODE_2063_length_2490_cov_41.651405_3,lmo1786
,InlK,inlK,NODE_7646_length_3008_cov_43.513298_1; NODE_8875_length_2067_cov_35.417995_1,lmo1290
,LntA,lntA,NODE_5451_length_1294_cov_53.734932_2,lmo0438
Intracellular survival,Lipoate protein ligase A1,lplA1,NODE_2269_length_1068_cov_45.363297_1,lmo0931
,Oligopeptide-binding protein,oppA,NODE_403_length_1587_cov_50.981728_1,lmo2196
,Post-translocation chaperone,prsA2,NODE_1529_length_863_cov_45.938587_1,lmo2219
,Sugar-uptake system,hpt,NODE_3588_length_4546_cov_47.183018_1,lmo0838
Invasion,Autolysin (GW protein),aut,NODE_3880_length_2841_cov_40.602955_1; NODE_3880_length_2841_cov_40.602955_2,lmo1076
,Cell wall hydrolase,iap/cwhA,NODE_4319_length_724_cov_48.643646_1; NODE_4732_length_2887_cov_54.611706_5,lmo0582
,Cell wall teichoic acid glycosylation protein,gtcA,NODE_5167_length_1506_cov_56.203850_2,lmo2549
,Internalin A (LPXTG protein),inlA,NODE_2430_length_1674_cov_55.256870_1,lmo0433
,Internalin B (GW protein),inlB,NODE_5982_length_1212_cov_57.349010_1,lmo0434
,Internalin P,inlP,NODE_1992_length_1268_cov_57.268139_1,lmo2470
,Lipoprotein promoting entry protein,lpeA,NODE_8563_length_361_cov_40.321331_1,lmo1847
,Virulence protein (LPXTG protein),vip,NODE_5156_length_529_cov_74.270325_1,lmo0320
Iron uptake,Hemoglobin binding protein,hbp2,NODE_5162_length_2192_cov_53.080292_3,lmo2185
Nucleation-promoting factor,ActA,actA,NODE_5652_length_542_cov_53.749077_1,lmo0204
Peptidoglycan modification,OatA,oatA,NODE_7646_length_3008_cov_43.513298_2,lmo1291
,PdgA,pdgA,NODE_6392_length_1185_cov_58.226162_2,lmo0415
Regulation,AgrA/AgrC,agrA,NODE_1785_length_330_cov_69.439392_1,lmo0051
,,agrC,NODE_887_length_723_cov_73.120331_1,lmo0050
,CheA/CheY,cheA,NODE_6239_length_1224_cov_45.354576_2,lmo0692
,,cheY,NODE_6239_length_1224_cov_45.354576_1,lmo0691
,LisR/LisK,lisK,NODE_8490_length_2583_cov_38.209446_1,lmo1378
,,lisR,NODE_8178_length_1301_cov_39.500385_1,lmo1377
,Positive regulatory factor,prfA,NODE_4172_length_795_cov_59.389938_1,lmo0200
,VirR/VirS,virR,NODE_631_length_3367_cov_41.667061_2,lmo1745
,,virS,NODE_8914_length_1473_cov_41.060421_2,lmo1741
Surface protein anchoring,Lipoprotein diacylglyceryl transferase,lgt,NODE_1837_length_454_cov_46.110130_1,lmo2482
,Lipoprotein-specific signal peptidase II,lspA,NODE_8231_length_2679_cov_43.522957_4,lmo1844
,Sortase A,srtA,NODE_9115_length_3354_cov_44.140430_3,lmo0929
,Sortase B,srtB,NODE_3777_length_4396_cov_52.769108_3,lmo2181
Toxin,Listeriolysin O,hly,NODE_1763_length_752_cov_57.441490_1; NODE_733_length_1597_cov_58.447716_1,lmo0202
,Table saved from VFDB (http://www.mgc.ac.cn/VFs/) [Tue Dec 24 23:44:57 2024],,,
